ID;Inserted At
24584;2014-05-17 00:00:00
77312;2020-05-17 00:00:00
86758;2020-05-17 00:00:00
209928;2023-07-17 00:00:00
84220;2022-04-01 00:00:00
72732;2020-05-17 00:00:00
77315;2020-05-17 00:00:00
72729;2020-05-17 00:00:00
209956;2023-07-17 00:00:00
66474;2017-05-17 00:00:00
19537;2011-05-17 00:00:00
209836;2023-07-12 00:00:00
210376;2023-08-31 00:00:00
77903;2020-05-17 00:00:00
82588;2020-05-17 00:00:00
81108;2020-05-17 00:00:00
66486;2017-05-17 00:00:00
85459;2022-04-01 00:00:00
84660;2022-04-01 00:00:00
27355;2011-05-17 00:00:00
84120;2022-04-01 00:00:00
83730;2020-05-17 00:00:00
86804;2020-05-17 00:00:00
86737;2020-05-17 00:00:00
83783;2022-04-01 00:00:00
19550;2014-05-17 00:00:00
82120;2020-05-17 00:00:00
83748;2020-05-17 00:00:00
57947;2017-05-17 00:00:00
83867;2022-04-01 00:00:00
83910;2022-04-01 00:00:00
20050;2014-05-17 00:00:00
77644;2020-05-17 00:00:00
84585;2022-04-01 00:00:00
66002;2018-09-01 00:00:00
210034;2023-07-19 00:00:00
210040;2023-07-19 00:00:00
85281;2020-05-17 00:00:00
82762;2020-05-17 00:00:00
81116;2020-05-17 00:00:00
78203;2022-04-01 00:00:00
209964;2023-07-17 00:00:00
85275;2020-05-17 00:00:00
209968;2023-07-17 00:00:00
29292;2017-05-17 00:00:00
83623;2020-05-17 00:00:00
81090;2020-05-17 00:00:00
129442;2020-05-17 00:00:00
86767;2020-05-17 00:00:00
77608;2020-05-17 00:00:00
59376;2017-05-17 00:00:00
57892;2017-05-17 00:00:00
65382;2018-09-01 00:00:00
68019;2017-05-17 00:00:00
58436;2017-05-17 00:00:00
20066;2014-05-17 00:00:00
19572;2011-05-17 00:00:00
23131;2014-05-17 00:00:00
83626;2020-05-17 00:00:00
66530;2017-05-17 00:00:00
210163;2023-07-19 00:00:00
34183;2017-05-17 00:00:00
68723;2017-05-17 00:00:00
85522;2022-04-01 00:00:00
142441;2020-05-17 00:00:00
85271;2020-05-17 00:00:00
84930;2020-05-17 00:00:00
85427;2022-04-01 00:00:00
86762;2020-05-17 00:00:00
129405;2020-05-17 00:00:00
85272;2020-05-17 00:00:00
85409;2022-04-01 00:00:00
83683;2020-05-17 00:00:00
210046;2023-07-19 00:00:00
210109;2023-07-19 00:00:00
57723;2017-05-17 00:00:00
78191;2022-04-01 00:00:00
82761;2020-05-17 00:00:00
83288;2020-05-17 00:00:00
81093;2020-05-17 00:00:00
